name,capital,alpha_cap,stock_profile,stock_positions,stock_rebalance_freq,simultaneous_improvement_gate_passes,stock_execution_gate_passes,small_account_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_oos_sharpe_delta,min_oos_sharpe_delta,avg_alpha_allocation,active_alpha_ratio,stock_subaccount_capital,stock_avg_holdings,stock_orders,stock_total_fees
v37_200000_alpha10_small_balanced_1pos_40d,200000.0,0.1,small_balanced,1,40,False,True,False,0.475,0.0624,-0.1386,0.3188,0.3609,-0.9375,0.0016,0.0141,-0.0035,0.0059,-0.0107,0.0135,0.2601,20000.0,0.89,124,1182.26
v37_50000_alpha15_v32_guard_2pos_20d,50000.0,0.15,v32_guard,2,20,False,True,False,0.4756,0.062,-0.1287,0.2911,0.3524,-0.9345,0.0015,0.0155,0.0,-0.0003,0.0013,0.0089,0.1134,7500.0,0.53,149,928.61
v37_100000_alpha10_v32_guard_1pos_20d,100000.0,0.1,v32_guard,1,20,False,True,False,0.4754,0.0621,-0.1351,0.2954,0.3545,-0.927,0.0014,0.0155,0.0,0.0,-0.0008,0.006,0.1134,10000.0,0.39,110,807.99
v37_100000_alpha15_v32_guard_1pos_40d,100000.0,0.15,v32_guard,1,40,False,True,False,0.473,0.0621,-0.1351,0.2991,0.3524,-0.9297,0.0014,0.0131,0.0,-0.0021,-0.0035,0.0113,0.12,15000.0,0.35,52,399.18
v37_200000_alpha15_v32_guard_1pos_40d,200000.0,0.15,v32_guard,1,40,False,True,False,0.4716,0.0621,-0.1371,0.3091,0.3527,-0.9318,0.0013,0.0107,-0.002,-0.0023,-0.005,0.0184,0.2134,30000.0,0.65,97,799.24
v37_100000_alpha10_small_balanced_1pos_40d,100000.0,0.1,small_balanced,1,40,False,True,False,0.4695,0.0619,-0.1386,0.3104,0.3507,-0.9275,0.0012,0.0096,-0.0035,-0.0038,-0.0013,0.0117,0.2001,10000.0,0.8,117,835.43
v37_50000_alpha10_v32_guard_1pos_20d,50000.0,0.1,v32_guard,1,20,False,True,False,0.4725,0.0616,-0.1287,0.2921,0.3499,-0.9358,0.0011,0.0124,0.0,-0.0028,0.0,0.0075,0.1334,5000.0,0.44,96,597.25
v37_50000_alpha15_v32_guard_1pos_20d,50000.0,0.15,v32_guard,1,20,False,True,False,0.4703,0.0616,-0.1287,0.3021,0.3237,-0.9358,0.0011,0.0102,0.0,-0.029,0.0,0.0113,0.14,7500.0,0.36,100,705.96
v37_50000_alpha10_small_balanced_1pos_40d,50000.0,0.1,small_balanced,1,40,False,True,False,0.4684,0.0615,-0.1287,0.3168,0.3438,-0.958,0.001,0.0083,0.0,-0.0089,-0.0222,0.0111,0.2134,5000.0,0.71,97,617.83
v37_200000_alpha10_v32_guard_1pos_40d,200000.0,0.1,v32_guard,1,40,False,True,False,0.4691,0.0617,-0.1351,0.3021,0.3534,-0.929,0.0009,0.0082,0.0,-0.0016,-0.0022,0.0069,0.1267,20000.0,0.45,68,534.46
v37_100000_alpha10_v32_guard_1pos_40d,100000.0,0.1,v32_guard,1,40,False,True,False,0.4685,0.0616,-0.1351,0.2951,0.3541,-0.9262,0.0009,0.0086,0.0,-0.0004,0.0,0.0056,0.1,10000.0,0.28,40,289.52
v37_50000_alpha15_v32_guard_1pos_40d,50000.0,0.15,v32_guard,1,40,False,False,False,0.4727,0.0618,-0.1287,0.2944,0.3529,-0.9346,0.0013,0.0126,0.0,0.0002,0.0012,0.0078,0.0867,7500.0,0.24,34,235.38
v37_50000_alpha10_v32_guard_1pos_40d,50000.0,0.1,v32_guard,1,40,False,False,False,0.4688,0.0613,-0.1287,0.2944,0.3523,-0.9367,0.0008,0.0087,0.0,-0.0004,-0.0009,0.005,0.08,5000.0,0.19,28,180.14
