name,capital,rank_mode,gross_profile,max_positions,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_stock_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,blocked_buys,blocked_sells,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v33_small_account_v32_guard_lowvol_reversal_50000_12pos,50000.0,lowvol_reversal,v32_guard,12,False,False,-0.1886,0.0102,0.0787,-0.184,0.1259,0.1499,57493.26,1.81,0.0239,0.9761,7178.74,0.1436,1302,5,86,99,0,-3.7025,-9.796
v33_small_account_v32_guard_lowvol_reversal_50000_5pos,50000.0,lowvol_reversal,v32_guard,5,False,False,-0.2334,0.0143,0.046,-0.111,0.2633,0.2797,63984.86,1.98,0.0382,0.9618,8149.14,0.163,1396,6,113,94,0,-7.9139,-13.1516
v33_small_account_small_defensive_defensive_50000_5pos,50000.0,defensive,small_defensive,5,False,False,-0.2374,0.0128,0.0515,-0.171,0.4344,0.2389,61943.99,3.87,0.0948,0.9052,16334.01,0.3267,2704,11,164,214,0,-4.4011,-8.1646
v33_small_account_v32_guard_ic_50000_5pos,50000.0,ic,v32_guard,5,False,False,-0.257,0.013,0.0469,-0.1122,0.265,0.2484,62418.67,1.77,0.0334,0.9666,7973.33,0.1595,1364,6,71,83,0,-7.0608,-13.0027
v33_small_account_small_defensive_lowvol_reversal_50000_12pos,50000.0,lowvol_reversal,small_defensive,12,False,False,-0.2659,0.0072,0.0669,-0.1606,0.314,0.1012,55060.45,4.26,0.0555,0.9445,16884.55,0.3377,3059,7,136,295,0,-2.0597,-4.2853
v33_small_account_small_defensive_ic_50000_12pos,50000.0,ic,small_defensive,12,False,False,-0.2741,0.011,0.051,-0.1604,0.3233,0.2002,60008.51,4.45,0.0527,0.9473,17697.49,0.3539,3211,17,178,369,0,-2.9334,-4.1852
v33_small_account_small_defensive_ic_100000_5pos,100000.0,ic,small_defensive,5,False,False,-0.2958,0.0082,0.0569,-0.1632,0.4803,0.1312,113123.92,4.06,0.069,0.931,21055.08,0.2106,3224,34,129,235,0,-2.573,-4.9225
v33_small_account_small_defensive_defensive_50000_12pos,50000.0,defensive,small_defensive,12,False,False,-0.3058,0.0095,0.0506,-0.151,0.3355,0.1679,58395.96,5.02,0.0592,0.9408,18123.04,0.3625,3310,10,233,343,0,-3.3568,-5.5616
v33_small_account_small_defensive_blend_50000_12pos,50000.0,blend,small_defensive,12,False,False,-0.3077,0.0088,0.0525,-0.1545,0.3372,0.1508,57539.55,4.57,0.053,0.947,18173.45,0.3635,3312,9,132,359,0,-3.3118,-6.2292
v33_small_account_small_defensive_lowvol_reversal_50000_10pos,50000.0,lowvol_reversal,small_defensive,10,False,False,-0.3119,0.0097,0.0489,-0.1557,0.3738,0.1736,58680.12,4.76,0.0666,0.9334,19237.88,0.3848,3441,11,169,403,0,-2.984,-5.5158
v33_small_account_v32_guard_ic_100000_10pos,100000.0,ic,v32_guard,10,False,False,-0.3476,0.0118,0.0379,-0.1003,0.3291,0.2303,123025.33,4.22,0.041,0.959,18624.67,0.1862,3187,29,137,234,0,-6.8847,-11.5131
v33_small_account_small_defensive_blend_50000_5pos,50000.0,blend,small_defensive,5,False,False,-0.35,0.0065,0.0529,-0.1676,0.4037,0.1005,55025.45,3.48,0.0735,0.9265,14961.55,0.2992,2517,10,151,245,0,-4.0169,-5.6692
v33_small_account_small_defensive_blend_50000_10pos,50000.0,blend,small_defensive,10,False,False,-0.3841,0.0081,0.044,-0.1648,0.3665,0.1425,57123.2,4.67,0.0595,0.9405,18528.8,0.3706,3347,12,168,378,0,-3.7806,-6.1157
v33_small_account_small_defensive_ic_50000_5pos,50000.0,ic,small_defensive,5,False,False,-0.3916,0.0036,0.0546,-0.1682,0.3869,0.0411,52054.13,3.03,0.0589,0.9411,13928.87,0.2786,2380,19,93,267,0,-3.8298,-5.4225
v33_small_account_small_defensive_blend_100000_8pos,100000.0,blend,small_defensive,8,False,False,-0.3973,0.0067,0.0459,-0.1664,0.4635,0.1122,111222.92,6.07,0.076,0.924,27004.08,0.27,4424,18,217,346,0,-3.5793,-7.3178
v33_small_account_v32_guard_defensive_50000_8pos,50000.0,defensive,v32_guard,8,False,False,-0.3978,0.0063,0.0469,-0.1051,0.2044,0.1039,55193.25,2.23,0.0367,0.9633,8276.75,0.1655,1468,5,136,107,0,-11.8536,-43.238
v33_small_account_v32_guard_lowvol_reversal_100000_10pos,100000.0,lowvol_reversal,v32_guard,10,False,False,-0.4019,0.0069,0.0451,-0.1052,0.2685,0.1169,111692.23,2.89,0.0247,0.9753,12107.77,0.1211,2119,2,90,141,0,-6.887,-10.8155
v33_small_account_small_defensive_lowvol_reversal_50000_5pos,50000.0,lowvol_reversal,small_defensive,5,False,False,-0.4069,0.0036,0.0527,-0.1621,0.3833,0.0424,52118.22,2.99,0.0555,0.9445,13022.78,0.2605,2251,8,94,290,0,-3.4071,-5.9544
v33_small_account_small_defensive_ic_100000_8pos,100000.0,ic,small_defensive,8,False,False,-0.4075,0.0057,0.0474,-0.1603,0.4608,0.089,108903.55,5.86,0.0732,0.9268,26927.45,0.2693,4430,40,196,340,0,-3.1122,-7.0116
