name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_asset_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v34_etf_balanced_momentum_100000_2asset_60d,100000.0,balanced,momentum,2,60,False,True,0.3522,0.1018,0.218,-0.4971,0.5689,1.623,262304.64,2.39,0.9755,0.0245,6313.56,0.0631,148,2,0,0.1384,-0.3485
v34_etf_capital_guard_risk_adjusted_50000_3asset_40d,50000.0,capital_guard,risk_adjusted,3,40,False,True,0.3504,0.0563,0.0894,-0.2947,0.7079,0.9119,95596.28,1.9,0.9187,0.0813,1468.22,0.0294,143,0,0,-0.2746,-1.1883
v34_etf_defensive_momentum_200000_3asset_60d,200000.0,defensive,momentum,3,60,False,True,0.3499,0.0745,0.1415,-0.3596,0.5903,1.2222,444431.61,3.12,0.9713,0.0287,5278.59,0.0264,185,0,0,-0.2553,-1.5756
v34_etf_defensive_defensive_200000_3asset_40d,200000.0,defensive,defensive,3,40,False,True,0.3487,0.0616,0.105,-0.307,0.6787,1.0031,400611.97,2.14,0.964,0.036,7502.03,0.0375,178,0,1,-0.6896,-2.2765
v34_etf_balanced_defensive_50000_3asset_40d,50000.0,balanced,defensive,3,40,False,True,0.3479,0.0764,0.1477,-0.4405,0.6582,1.2494,112469.16,2.04,0.9436,0.0564,3012.34,0.0602,187,10,0,-0.3636,-1.0149
v34_etf_balanced_momentum_50000_2asset_60d,50000.0,balanced,momentum,2,60,False,True,0.3477,0.1006,0.2174,-0.4958,0.5685,1.5891,129453.33,1.9,0.9475,0.0525,3221.47,0.0644,147,28,0,0.1323,-0.3596
v34_etf_defensive_momentum_100000_3asset_60d,100000.0,defensive,momentum,3,60,False,True,0.3461,0.0739,0.1412,-0.3593,0.5903,1.2055,220554.26,3.12,0.9594,0.0406,2763.64,0.0276,172,0,0,-0.257,-1.5799
v34_etf_defensive_defensive_100000_3asset_40d,100000.0,defensive,defensive,3,40,False,True,0.3458,0.0612,0.1047,-0.3058,0.6787,0.9941,199409.02,2.14,0.9531,0.0469,3804.08,0.038,176,0,0,-0.6955,-2.286
v34_etf_defensive_defensive_200000_2asset_40d,200000.0,defensive,defensive,2,40,False,True,0.3417,0.0626,0.1099,-0.2942,0.6807,1.0136,402716.11,1.76,0.9646,0.0354,8143.19,0.0407,137,0,0,-0.7891,-2.4019
v34_etf_defensive_defensive_100000_2asset_40d,100000.0,defensive,defensive,2,40,False,True,0.339,0.0622,0.1099,-0.2942,0.6807,1.0058,200576.0,1.76,0.9566,0.0434,4117.2,0.0412,135,0,0,-0.7908,-2.407
v34_etf_defensive_momentum_50000_3asset_60d,50000.0,defensive,momentum,3,60,False,True,0.3384,0.0725,0.1403,-0.3568,0.5894,1.1714,108569.54,3.12,0.9298,0.0702,1615.16,0.0323,168,0,0,-0.2645,-1.5793
v34_etf_ultra_guard_risk_adjusted_200000_3asset_20d,200000.0,ultra_guard,risk_adjusted,3,20,False,True,0.3384,0.0414,0.0485,-0.1576,0.7156,0.6461,329211.41,1.86,0.9544,0.0456,3512.89,0.0176,233,0,0,-0.5075,-1.2616
v34_etf_ultra_guard_risk_adjusted_50000_3asset_40d,50000.0,ultra_guard,risk_adjusted,3,40,False,True,0.3356,0.0425,0.0522,-0.1758,0.7082,0.6651,83255.18,1.78,0.921,0.079,1120.62,0.0224,137,3,0,-0.5344,-1.2865
v34_etf_defensive_defensive_50000_3asset_40d,50000.0,defensive,defensive,3,40,False,True,0.3341,0.0598,0.104,-0.3028,0.6791,0.9602,98008.19,2.14,0.9205,0.0795,2050.31,0.041,172,0,0,-0.7109,-2.3083
v34_etf_defensive_defensive_50000_2asset_40d,50000.0,defensive,defensive,2,40,False,True,0.3335,0.0615,0.1095,-0.2927,0.6807,0.9889,99444.66,1.76,0.9404,0.0596,2095.94,0.0419,129,0,0,-0.7967,-2.4174
v34_etf_ultra_guard_defensive_50000_3asset_60d,50000.0,ultra_guard,defensive,3,60,False,True,0.3324,0.0408,0.0476,-0.1953,0.7168,0.635,81750.7,1.62,0.9211,0.0789,616.0,0.0123,75,0,0,-1.218,-3.043
v34_etf_ultra_guard_defensive_200000_1asset_40d,200000.0,ultra_guard,defensive,1,40,False,True,0.3314,0.0441,0.0577,-0.1978,0.7245,0.692,338403.25,1.22,0.9545,0.0455,2375.95,0.0119,67,0,0,-0.5003,-1.0177
v34_etf_ultra_guard_risk_adjusted_100000_1asset_20d,100000.0,ultra_guard,risk_adjusted,1,20,False,True,0.3292,0.0451,0.0612,-0.1744,0.7172,0.7092,170923.05,1.28,0.9491,0.0509,1688.95,0.0169,109,0,0,-0.4355,-0.9537
v34_etf_balanced_momentum_200000_2asset_20d,200000.0,balanced,momentum,2,20,False,True,0.3271,0.0961,0.2174,-0.5476,0.5647,1.4493,489867.85,2.46,0.9831,0.0169,18909.05,0.0945,370,0,0,-0.118,-1.3799
v34_etf_defensive_momentum_200000_1asset_60d,200000.0,defensive,momentum,1,60,False,True,0.3269,0.076,0.156,-0.3392,0.6012,1.2036,440729.94,1.67,0.9679,0.0321,6928.86,0.0346,90,0,0,-0.3178,-1.6466
v34_etf_ultra_guard_defensive_100000_1asset_40d,100000.0,ultra_guard,defensive,1,40,False,True,0.3251,0.0437,0.0577,-0.1983,0.7242,0.6842,168420.83,1.22,0.9451,0.0549,1228.27,0.0123,65,0,0,-0.5181,-1.0483
v34_etf_defensive_momentum_100000_1asset_60d,100000.0,defensive,momentum,1,60,False,True,0.324,0.0755,0.156,-0.3394,0.6012,1.191,219101.42,1.67,0.9547,0.0453,3489.38,0.0349,83,0,0,-0.3206,-1.6558
v34_etf_defensive_defensive_200000_1asset_60d,200000.0,defensive,defensive,1,60,False,True,0.3238,0.0629,0.117,-0.2674,0.6851,1.0015,400296.8,1.39,0.9656,0.0344,5322.0,0.0266,61,0,1,-1.1648,-3.0337
v34_etf_balanced_momentum_100000_2asset_20d,100000.0,balanced,momentum,2,20,False,True,0.3236,0.0953,0.2172,-0.5491,0.5637,1.4258,242584.87,2.13,0.9665,0.0335,9761.23,0.0976,368,52,0,-0.1206,-1.386
v34_etf_ultra_guard_risk_adjusted_100000_3asset_20d,100000.0,ultra_guard,risk_adjusted,3,20,False,True,0.3224,0.0405,0.0481,-0.1563,0.7146,0.6281,162811.85,1.85,0.934,0.066,2080.75,0.0208,223,1,0,-0.5481,-1.2876
