date,close_count,warmup_eligible_count,close_coverage_ratio
2010-03-16,668,611,0.426837
2010-03-17,668,611,0.426837
2010-03-18,670,611,0.428115
2010-03-19,671,611,0.428754
2010-03-22,671,611,0.428754
2010-03-23,671,611,0.428754
2010-03-24,671,611,0.428754
2010-03-25,671,611,0.428754
2010-03-26,672,611,0.429393
2010-03-29,672,611,0.429393
2010-03-30,672,611,0.429393
2010-03-31,674,611,0.430671
2010-04-01,674,611,0.430671
2010-04-02,674,611,0.430671
2010-04-06,674,611,0.430671
2010-04-07,674,611,0.430671
2010-04-08,674,611,0.430671
2010-04-09,676,611,0.431949
2010-04-12,676,611,0.431949
2010-04-13,677,611,0.432588
2010-04-14,677,611,0.432588
2010-04-15,677,611,0.432588
2010-04-16,678,611,0.433227
2010-04-19,678,611,0.433227
2010-04-20,678,611,0.433227
2010-04-21,679,611,0.433866
2010-04-22,679,611,0.433866
2010-04-23,679,611,0.433866
2010-04-26,679,611,0.433866
2010-04-27,681,611,0.435144
2010-04-28,682,611,0.435783
2010-04-29,682,611,0.435783
2010-04-30,683,611,0.436422
2010-05-04,683,611,0.436422
2010-05-05,683,611,0.436422
2010-05-06,685,611,0.4377
2010-05-07,685,611,0.4377
2010-05-10,685,611,0.4377
2010-05-11,686,611,0.438339
2010-05-12,686,611,0.438339
2010-05-13,686,611,0.438339
2010-05-14,686,611,0.438339
2010-05-17,686,611,0.438339
2010-05-18,688,611,0.439617
2010-05-19,688,611,0.439617
2010-05-20,689,611,0.440256
2010-05-21,689,611,0.440256
2010-05-24,689,611,0.440256
2010-05-25,691,611,0.441534
2010-05-26,694,611,0.44345
2010-05-27,694,611,0.44345
2010-05-28,696,611,0.444728
2010-05-31,696,611,0.444728
2010-06-01,696,611,0.444728
2010-06-02,696,611,0.444728
2010-06-03,699,611,0.446645
2010-06-04,699,611,0.446645
2010-06-07,699,611,0.446645
2010-06-08,700,611,0.447284
2010-06-09,700,611,0.447284
2010-06-10,703,611,0.449201
2010-06-11,703,611,0.449201
2010-06-17,703,611,0.449201
2010-06-18,705,611,0.450479
2010-06-21,705,611,0.450479
2010-06-22,705,611,0.450479
2010-06-23,707,611,0.451757
2010-06-24,707,611,0.451757
2010-06-25,708,611,0.452396
2010-06-28,708,611,0.452396
2010-06-29,708,611,0.452396
2010-06-30,708,611,0.452396
2010-07-01,708,611,0.452396
2010-07-02,708,611,0.452396
2010-07-05,709,611,0.453035
2010-07-06,709,611,0.453035
2010-07-07,709,611,0.453035
2010-07-08,709,611,0.453035
2010-07-09,709,611,0.453035
2010-07-12,709,611,0.453035
2010-07-13,710,611,0.453674
2010-07-14,710,611,0.453674
2010-07-15,711,611,0.454313
2010-07-16,712,611,0.454952
2010-07-19,712,611,0.454952
2010-07-20,712,611,0.454952
2010-07-21,712,612,0.454952
2010-07-22,712,612,0.454952
2010-07-23,712,612,0.454952
2010-07-26,712,612,0.454952
2010-07-27,712,612,0.454952
2010-07-28,713,612,0.455591
2010-07-29,713,612,0.455591
2010-07-30,713,612,0.455591
2010-08-02,713,612,0.455591
2010-08-03,715,612,0.456869
2010-08-04,715,612,0.456869
2010-08-05,715,613,0.456869
2010-08-06,717,613,0.458147
2010-08-09,717,614,0.458147
2010-08-10,719,614,0.459425
2010-08-11,719,614,0.459425
2010-08-12,719,614,0.459425
2010-08-13,719,614,0.459425
2010-08-16,720,614,0.460064
2010-08-17,720,614,0.460064
2010-08-18,723,614,0.461981
2010-08-19,723,614,0.461981
2010-08-20,723,614,0.461981
2010-08-23,723,614,0.461981
2010-08-24,723,614,0.461981
2010-08-25,723,614,0.461981
2010-08-26,723,614,0.461981
2010-08-27,724,615,0.46262
2010-08-30,724,615,0.46262
2010-08-31,726,615,0.463898
2010-09-01,726,616,0.463898
2010-09-02,727,616,0.464537
2010-09-03,727,616,0.464537
2010-09-06,727,616,0.464537
2010-09-07,727,616,0.464537
2010-09-08,727,617,0.464537
2010-09-09,727,617,0.464537
2010-09-10,728,617,0.465176
2010-09-13,728,617,0.465176
2010-09-14,728,617,0.465176
2010-09-15,729,617,0.465815
2010-09-16,729,617,0.465815
2010-09-17,729,617,0.465815
2010-09-20,729,617,0.465815
2010-09-21,729,618,0.465815
2010-09-27,729,618,0.465815
2010-09-28,732,618,0.467732
2010-09-29,733,618,0.468371
2010-09-30,733,618,0.468371
2010-10-08,733,618,0.468371
2010-10-11,733,618,0.468371
2010-10-12,733,619,0.468371
2010-10-13,735,619,0.469649
2010-10-14,735,619,0.469649
2010-10-15,736,619,0.470288
2010-10-18,736,619,0.470288
2010-10-19,738,619,0.471565
2010-10-20,738,619,0.471565
2010-10-21,740,619,0.472843
2010-10-22,740,619,0.472843
2010-10-25,740,619,0.472843
2010-10-26,742,619,0.474121
2010-10-27,742,619,0.474121
2010-10-28,743,620,0.47476
2010-10-29,743,620,0.47476
2010-11-01,743,620,0.47476
2010-11-02,745,620,0.476038
