name,capital,universe_mode,risk_profile,rank_mode,max_assets,rebalance_freq,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,long_history_research_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v36_regime_expanded_recent_aggressive_trend_200000_1asset_40d,200000.0,expanded_recent,aggressive,trend,1,40,False,False,True,False,0.1776,0.0354,0.0585,-0.1913,0.0782,0.5178,303558.85,0.14,0.055,0.945,0.0528,0.7001,68,679.55,0.0034,16,0.0,0.0
v36_regime_core_long_aggressive_trend_100000_1asset_40d,100000.0,core_long,aggressive,trend,1,40,False,False,True,False,0.177,0.0354,0.0585,-0.1913,0.0782,0.5171,151706.84,0.14,0.055,0.945,0.0528,0.7001,68,347.56,0.0035,16,0.0,0.0
v36_regime_expanded_recent_aggressive_trend_100000_1asset_40d,100000.0,expanded_recent,aggressive,trend,1,40,False,False,True,False,0.177,0.0354,0.0585,-0.1913,0.0782,0.5171,151706.84,0.14,0.055,0.945,0.0528,0.7001,68,347.56,0.0035,16,0.0,0.0
v36_regime_core_long_aggressive_trend_50000_1asset_40d,50000.0,core_long,aggressive,trend,1,40,False,False,True,False,0.1749,0.0352,0.0584,-0.1916,0.0782,0.5147,75733.19,0.14,0.0549,0.9451,0.0528,0.7001,68,188.51,0.0038,16,0.0,0.0
v36_regime_expanded_recent_aggressive_trend_50000_1asset_40d,50000.0,expanded_recent,aggressive,trend,1,40,False,False,True,False,0.1749,0.0352,0.0584,-0.1916,0.0782,0.5147,75733.19,0.14,0.0549,0.9451,0.0528,0.7001,68,188.51,0.0038,16,0.0,0.0
v36_regime_core_long_aggressive_trend_200000_2asset_40d,200000.0,core_long,aggressive,trend,2,40,False,False,True,False,0.1419,0.0342,0.0649,-0.1909,0.296,0.4884,297672.23,0.92,0.1399,0.8601,0.1373,0.6834,36,1751.47,0.0088,104,-1.2324,-3.0913
v36_regime_expanded_recent_aggressive_trend_50000_2asset_40d,50000.0,expanded_recent,aggressive,trend,2,40,False,False,True,False,0.14,0.0333,0.0592,-0.1904,0.2751,0.4779,73894.4,0.86,0.1118,0.8882,0.1122,0.6834,39,643.5,0.0129,94,-1.2474,-4.6369
v36_regime_expanded_recent_aggressive_trend_100000_2asset_40d,100000.0,expanded_recent,aggressive,trend,2,40,False,False,True,False,0.139,0.0333,0.0596,-0.1912,0.2956,0.4775,147746.44,0.92,0.1191,0.8809,0.1187,0.6834,36,937.76,0.0094,104,-1.3113,-2.4962
v36_regime_core_long_aggressive_trend_50000_2asset_40d,50000.0,core_long,aggressive,trend,2,40,False,False,True,False,0.1377,0.0348,0.0711,-0.1904,0.41,0.4911,74554.6,1.21,0.1526,0.8474,0.1556,0.7999,19,949.7,0.019,134,-1.3512,-2.4145
v36_regime_expanded_recent_aggressive_trend_200000_2asset_40d,200000.0,expanded_recent,aggressive,trend,2,40,False,False,True,False,0.137,0.0352,0.0748,-0.1909,0.4078,0.4946,298917.13,1.26,0.1653,0.8347,0.1621,0.7999,20,2386.87,0.0119,146,-1.2203,-2.4656
