code,exists,load_error,first_date,last_date,calendar_years,rows_total,rows_in_window,duplicate_dates,missing_columns,close_nan_ratio,volume_nan_ratio,amount_nan_ratio,invalid_close_count,spans_requested_window,strict_20y_quality_ok,path
603055,True,,2017-09-21,2026-05-29,8.68,2104,2104,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603055.parquet
600732,True,,2000-01-04,2026-05-29,26.4,5752,4435,0,,0.0,0.0,0.0,0,True,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/600732.parquet
601965,True,,2012-06-11,2026-05-29,13.96,3383,3383,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/601965.parquet
002791,True,,2016-03-29,2026-05-29,10.17,2469,2469,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002791.parquet
688556,True,,2020-08-07,2026-05-29,5.81,1406,1406,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688556.parquet
301073,True,,2021-09-30,2026-05-29,4.66,1121,1121,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/301073.parquet
603063,True,,2017-07-28,2026-05-29,8.84,2143,2143,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603063.parquet
603218,True,,2016-12-28,2026-05-29,9.42,2284,2284,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603218.parquet
301035,True,,2021-07-28,2026-05-29,4.84,1170,1170,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/301035.parquet
688305,True,,2021-07-09,2026-05-29,4.89,1183,1183,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688305.parquet
002922,True,,2017-12-29,2026-05-29,8.41,2036,2036,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002922.parquet
002928,True,,2018-03-02,2026-05-29,8.24,1999,1999,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002928.parquet
002653,True,,2012-01-17,2026-05-29,14.36,3480,3480,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002653.parquet
600879,True,,2000-01-04,2026-05-29,26.4,6241,4819,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600879.parquet
002436,True,,2010-06-18,2026-05-29,15.95,3710,3710,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002436.parquet
688122,True,,2019-07-22,2026-05-29,6.85,1661,1661,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688122.parquet
300855,True,,2020-07-23,2026-05-29,5.85,1417,1417,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/300855.parquet
301377,True,,2022-11-22,2026-05-29,3.52,851,851,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/301377.parquet
300129,True,,2010-10-19,2026-05-29,15.61,3746,3746,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/300129.parquet
002044,True,,2005-05-18,2026-05-29,21.03,4747,4635,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/002044.parquet
600642,True,,2000-01-04,2026-05-29,26.4,6337,4936,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600642.parquet
603708,True,,2016-12-13,2026-05-29,9.46,2295,2295,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603708.parquet
688002,True,,2019-07-22,2026-05-29,6.85,1661,1661,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688002.parquet
300687,True,,2017-08-03,2026-05-29,8.82,2129,2129,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/300687.parquet
301029,True,,2021-07-23,2026-05-29,4.85,1173,1173,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/301029.parquet
688032,True,,2021-12-20,2026-05-29,4.44,1074,1074,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688032.parquet
688389,True,,2019-11-05,2026-05-29,6.56,1591,1591,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688389.parquet
600435,True,,2003-07-04,2026-05-29,22.9,5301,4698,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600435.parquet
000065,True,,2000-01-04,2026-05-29,26.4,6186,4777,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/000065.parquet
603766,True,,2012-08-10,2026-05-29,13.8,3308,3308,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603766.parquet
600998,True,,2010-11-02,2026-05-29,15.57,3760,3760,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/600998.parquet
600114,True,,2004-05-11,2026-05-29,22.05,5289,4886,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600114.parquet
002683,True,,2012-06-12,2026-05-29,13.96,3212,3212,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002683.parquet
600901,True,,2018-03-01,2026-05-29,8.24,2000,2000,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/600901.parquet
603713,True,,2018-07-13,2026-05-29,7.88,1909,1909,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603713.parquet
600968,True,,2019-06-26,2026-05-29,6.92,1679,1679,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/600968.parquet
688192,True,,2021-12-10,2026-05-29,4.47,1080,1080,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688192.parquet
600012,True,,2003-01-07,2026-05-29,23.39,5612,4893,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600012.parquet
