name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,target_vol,daily_var_limit,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v35_risk_budget_ultra_var_risk_adjusted_50000_2asset_40d_vol0.06_var0.008,50000.0,ultra_var,risk_adjusted,2,40,0.06,0.008,True,False,True,-1.3657,0.0076,0.0127,-0.0239,0.2486,0.098,54898.27,0.71,0.0374,0.9626,0.0393,0.2149,42,498.73,0.01,88,-4.2151,-12.9898
v35_risk_budget_ultra_var_risk_adjusted_50000_2asset_40d_vol0.06_var0.012,50000.0,ultra_var,risk_adjusted,2,40,0.06,0.012,True,False,True,-1.3657,0.0076,0.0127,-0.0239,0.2486,0.098,54898.27,0.71,0.0374,0.9626,0.0393,0.2149,42,498.73,0.01,88,-4.2151,-12.9898
v35_risk_budget_ultra_var_risk_adjusted_50000_2asset_40d_vol0.06_var0.016,50000.0,ultra_var,risk_adjusted,2,40,0.06,0.016,True,False,True,-1.3657,0.0076,0.0127,-0.0239,0.2486,0.098,54898.27,0.71,0.0374,0.9626,0.0393,0.2149,42,498.73,0.01,88,-4.2151,-12.9898
v35_risk_budget_conservative_var_risk_adjusted_200000_2asset_20d_vol0.04_var0.008,200000.0,conservative_var,risk_adjusted,2,20,0.04,0.008,True,False,True,-1.3808,0.0075,0.0127,-0.0233,0.2915,0.0967,219344.24,0.81,0.0434,0.9566,0.0439,0.2005,71,1295.76,0.0065,172,-2.3287,-5.004
v35_risk_budget_conservative_var_risk_adjusted_200000_2asset_20d_vol0.04_var0.012,200000.0,conservative_var,risk_adjusted,2,20,0.04,0.012,True,False,True,-1.3808,0.0075,0.0127,-0.0233,0.2915,0.0967,219344.24,0.81,0.0434,0.9566,0.0439,0.2005,71,1295.76,0.0065,172,-2.3287,-5.004
v35_risk_budget_conservative_var_risk_adjusted_200000_2asset_20d_vol0.04_var0.016,200000.0,conservative_var,risk_adjusted,2,20,0.04,0.016,True,False,True,-1.3808,0.0075,0.0127,-0.0233,0.2915,0.0967,219344.24,0.81,0.0434,0.9566,0.0439,0.2005,71,1295.76,0.0065,172,-2.3287,-5.004
v35_risk_budget_ultra_var_risk_adjusted_100000_1asset_20d_vol0.06_var0.008,100000.0,ultra_var,risk_adjusted,1,20,0.06,0.008,True,False,True,-1.397,0.0066,0.0132,-0.0324,0.2335,0.0843,108425.51,0.44,0.035,0.965,0.036,0.2149,86,629.59,0.0063,92,-2.9454,-8.2721
v35_risk_budget_ultra_var_risk_adjusted_100000_1asset_20d_vol0.06_var0.012,100000.0,ultra_var,risk_adjusted,1,20,0.06,0.012,True,False,True,-1.397,0.0066,0.0132,-0.0324,0.2335,0.0843,108425.51,0.44,0.035,0.965,0.036,0.2149,86,629.59,0.0063,92,-2.9454,-8.2721
v35_risk_budget_ultra_var_risk_adjusted_100000_1asset_20d_vol0.06_var0.016,100000.0,ultra_var,risk_adjusted,1,20,0.06,0.016,True,False,True,-1.397,0.0066,0.0132,-0.0324,0.2335,0.0843,108425.51,0.44,0.035,0.965,0.036,0.2149,86,629.59,0.0063,92,-2.9454,-8.2721
v35_risk_budget_conservative_var_risk_adjusted_50000_1asset_20d_vol0.04_var0.008,50000.0,conservative_var,risk_adjusted,1,20,0.04,0.008,True,False,True,-1.4069,0.0078,0.0122,-0.0184,0.2675,0.1003,55016.24,0.5,0.0395,0.9605,0.0416,0.2005,77,563.56,0.0113,95,-2.1474,-4.9225
